Preprocessing,Linear,Linear,Linear,Linear,Linear,Linear,Linear,Log Norm,Log Norm,Log Norm,Log Norm,Log Norm,Log Norm,Log Norm,Hist Eq,Hist Eq,Hist Eq,Hist Eq,Hist Eq,Hist Eq,Hist Eq,CLAHE,CLAHE,CLAHE,CLAHE,CLAHE,CLAHE,CLAHE,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gauss+Sharpen,Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5),Gamma(0.5)
Detector,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak,sift,orb,akaze,kaze,brisk,fast_brief,fast_freak
cap_15.tiff,7.0,10.0,7.0,19.0,9.0,3.0,4.0,12.0,3.0,3.0,22.0,1.0,1.0,3.0,17.0,9.0,3.0,22.0,2.0,6.0,10.0,11.0,18.0,8.0,33.0,3.0,3.0,6.0,10.0,14.0,9.0,24.0,13.0,8.0,12.0,7.0,9.0,6.0,21.0,4.0,3.0,6.0
cap_16.tiff,7.0,9.0,7.0,11.0,10.0,3.0,4.0,7.0,5.0,2.0,20.0,2.0,0.0,3.0,20.0,8.0,1.0,16.0,4.0,4.0,6.0,9.0,7.0,7.0,28.0,8.0,2.0,3.0,9.0,14.0,8.0,17.0,10.0,3.0,5.0,7.0,11.0,7.0,14.0,8.0,2.0,5.0
cap_17.tiff,3.0,5.0,8.0,13.0,3.0,1.0,2.0,8.0,8.0,3.0,20.0,3.0,1.0,3.0,18.0,6.0,0.0,17.0,4.0,4.0,8.0,9.0,8.0,9.0,25.0,5.0,2.0,3.0,5.0,15.0,9.0,16.0,9.0,4.0,5.0,8.0,6.0,8.0,13.0,4.0,2.0,4.0
cap_18.tiff,10.0,1.0,7.0,9.0,2.0,0.0,0.0,12.0,0.0,3.0,18.0,0.0,1.0,1.0,21.0,8.0,1.0,15.0,4.0,3.0,12.0,14.0,7.0,7.0,19.0,4.0,1.0,2.0,7.0,7.0,8.0,13.0,4.0,2.0,3.0,7.0,2.0,6.0,14.0,0.0,0.0,0.0
cap_19.tiff,3.0,3.0,6.0,10.0,4.0,1.0,2.0,6.0,0.0,2.0,18.0,0.0,0.0,1.0,17.0,5.0,2.0,17.0,3.0,2.0,3.0,10.0,4.0,7.0,24.0,5.0,1.0,2.0,4.0,7.0,6.0,15.0,11.0,4.0,6.0,10.0,3.0,5.0,14.0,2.0,0.0,1.0
cap_20.tiff,9.0,2.0,7.0,12.0,3.0,1.0,4.0,8.0,0.0,2.0,14.0,3.0,0.0,3.0,22.0,5.0,1.0,14.0,4.0,5.0,15.0,13.0,3.0,9.0,32.0,1.0,1.0,2.0,12.0,4.0,9.0,19.0,5.0,3.0,5.0,12.0,0.0,5.0,16.0,2.0,0.0,3.0
cap_21.tiff,7.0,1.0,7.0,17.0,2.0,1.0,2.0,9.0,0.0,3.0,12.0,0.0,1.0,1.0,26.0,6.0,2.0,14.0,8.0,4.0,12.0,17.0,3.0,8.0,30.0,4.0,0.0,3.0,8.0,3.0,8.0,16.0,3.0,2.0,6.0,13.0,0.0,6.0,15.0,2.0,0.0,0.0
cap_22.tiff,11.0,0.0,7.0,18.0,2.0,1.0,5.0,11.0,0.0,2.0,14.0,1.0,1.0,1.0,27.0,3.0,1.0,15.0,2.0,2.0,5.0,15.0,6.0,10.0,36.0,3.0,0.0,3.0,10.0,2.0,8.0,22.0,2.0,2.0,3.0,13.0,0.0,5.0,15.0,2.0,1.0,4.0
cap_23.tiff,10.0,0.0,7.0,13.0,3.0,1.0,4.0,11.0,0.0,2.0,12.0,1.0,1.0,1.0,24.0,4.0,1.0,14.0,2.0,4.0,13.0,13.0,1.0,9.0,22.0,6.0,0.0,4.0,10.0,1.0,9.0,22.0,3.0,1.0,4.0,12.0,0.0,5.0,14.0,3.0,1.0,3.0
cap_24.tiff,10.0,0.0,7.0,18.0,2.0,1.0,4.0,12.0,0.0,2.0,13.0,0.0,1.0,1.0,25.0,6.0,1.0,16.0,4.0,7.0,16.0,14.0,4.0,9.0,30.0,2.0,0.0,2.0,11.0,2.0,8.0,24.0,2.0,3.0,8.0,10.0,0.0,5.0,16.0,2.0,1.0,4.0
cap_25.tiff,9.0,2.0,7.0,14.0,2.0,1.0,4.0,8.0,0.0,3.0,14.0,1.0,1.0,1.0,15.0,13.0,1.0,15.0,4.0,4.0,14.0,12.0,2.0,9.0,30.0,3.0,1.0,4.0,8.0,2.0,9.0,23.0,4.0,3.0,7.0,11.0,2.0,5.0,14.0,2.0,1.0,4.0
cap_26.tiff,8.0,1.0,7.0,18.0,1.0,0.0,2.0,8.0,0.0,2.0,13.0,1.0,1.0,1.0,16.0,7.0,1.0,17.0,6.0,4.0,5.0,11.0,4.0,10.0,28.0,4.0,1.0,4.0,6.0,3.0,10.0,27.0,4.0,3.0,5.0,6.0,0.0,6.0,17.0,1.0,1.0,3.0
cap_27.tiff,4.0,6.0,6.0,11.0,1.0,1.0,4.0,4.0,0.0,1.0,13.0,0.0,0.0,2.0,19.0,8.0,1.0,13.0,8.0,7.0,11.0,12.0,13.0,8.0,24.0,4.0,1.0,3.0,5.0,12.0,6.0,14.0,7.0,5.0,7.0,7.0,5.0,5.0,15.0,2.0,0.0,3.0
cap_28.tiff,5.0,2.0,7.0,13.0,3.0,0.0,2.0,6.0,0.0,1.0,16.0,1.0,0.0,2.0,16.0,8.0,1.0,13.0,6.0,3.0,14.0,13.0,5.0,9.0,24.0,5.0,1.0,4.0,8.0,7.0,7.0,15.0,6.0,4.0,6.0,5.0,3.0,7.0,14.0,4.0,0.0,3.0
cap_29.tiff,5.0,5.0,7.0,13.0,2.0,0.0,2.0,6.0,3.0,2.0,14.0,1.0,0.0,2.0,15.0,6.0,1.0,13.0,5.0,2.0,4.0,8.0,7.0,9.0,22.0,8.0,1.0,4.0,7.0,12.0,8.0,17.0,12.0,5.0,9.0,6.0,7.0,7.0,11.0,5.0,0.0,2.0
cap_30.tiff,3.0,9.0,8.0,19.0,6.0,3.0,4.0,6.0,4.0,3.0,19.0,3.0,2.0,4.0,16.0,6.0,1.0,17.0,5.0,4.0,5.0,8.0,7.0,7.0,23.0,2.0,2.0,5.0,3.0,12.0,9.0,22.0,8.0,5.0,7.0,4.0,8.0,7.0,16.0,3.0,2.0,4.0
cap_31.tiff,3.0,13.0,7.0,13.0,6.0,4.0,6.0,5.0,7.0,1.0,20.0,2.0,2.0,5.0,15.0,7.0,0.0,20.0,6.0,4.0,7.0,7.0,6.0,7.0,20.0,5.0,3.0,7.0,3.0,14.0,7.0,17.0,11.0,8.0,11.0,4.0,12.0,6.0,11.0,3.0,2.0,6.0
TOTAL,206.0,176.0,222.0,529.0,124.0,101.0,144.0,280.0,88.0,71.0,579.0,49.0,33.0,61.0,703.0,255.0,42.0,523.0,351.0,143.0,366.0,384.0,235.0,275.0,931.0,147.0,96.0,151.0,265.0,265.0,250.0,673.0,216.0,164.0,228.0,272.0,174.0,192.0,580.0,106.0,79.0,124.0
