Image 1,Image 2,Preprocessing,Detector,KP1,KP2,Matches,Inliers,Precision,Recall
cap_01.tiff,cap_28.tiff,Hist Eq,AKAZE,0,1,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Hist Eq,KAZE,0,0,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Hist Eq,BRISK,7,6,6,4,0.667,0.667
cap_01.tiff,cap_28.tiff,Hist Eq,FAST_BRIEF,5,3,1,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Hist Eq,FAST_FREAK,7,14,2,0,0.0,0.0
cap_01.tiff,cap_28.tiff,CLAHE,SIFT,0,0,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,CLAHE,ORB,7,5,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,CLAHE,AKAZE,7,9,4,0,0.0,0.0
cap_01.tiff,cap_28.tiff,CLAHE,KAZE,26,24,11,3,0.273,0.125
cap_01.tiff,cap_28.tiff,CLAHE,BRISK,7,5,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,CLAHE,FAST_BRIEF,2,1,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,CLAHE,FAST_FREAK,3,4,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,SIFT,5,8,2,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,ORB,11,7,7,6,0.857,0.857
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,AKAZE,0,0,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,KAZE,19,15,10,5,0.5,0.333
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,BRISK,6,6,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,FAST_BRIEF,7,4,7,6,0.857,1.5
cap_01.tiff,cap_28.tiff,Gauss+Sharpen,FAST_FREAK,8,6,4,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gamma(0.5),SIFT,5,5,3,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gamma(0.5),ORB,9,3,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gamma(0.5),AKAZE,4,7,3,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gamma(0.5),KAZE,16,14,9,4,0.444,0.286
cap_01.tiff,cap_28.tiff,Gamma(0.5),BRISK,4,4,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gamma(0.5),FAST_BRIEF,3,0,0,0,0.0,0.0
cap_01.tiff,cap_28.tiff,Gamma(0.5),FAST_FREAK,4,3,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,SIFT,4,8,4,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,ORB,6,9,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,AKAZE,6,8,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,KAZE,12,21,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,BRISK,6,8,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,FAST_BRIEF,1,5,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Linear,FAST_FREAK,2,5,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,SIFT,0,0,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,ORB,5,6,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,AKAZE,2,3,1,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,KAZE,17,21,4,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,BRISK,3,3,1,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,FAST_BRIEF,1,2,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Log Norm,FAST_FREAK,2,3,1,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,SIFT,14,26,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,ORB,5,15,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,AKAZE,1,3,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,KAZE,17,24,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,BRISK,1,5,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,FAST_BRIEF,1,8,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Hist Eq,FAST_FREAK,4,17,1,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,SIFT,10,15,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,ORB,8,19,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,AKAZE,7,9,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,KAZE,18,33,4,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,BRISK,4,6,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,FAST_BRIEF,2,5,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,CLAHE,FAST_FREAK,5,8,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,SIFT,11,6,6,3,0.5,0.5
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,ORB,0,0,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,AKAZE,7,8,1,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,KAZE,15,24,6,2,0.333,0.133
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,BRISK,10,9,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,FAST_BRIEF,4,4,4,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gauss+Sharpen,FAST_FREAK,7,6,3,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),SIFT,6,8,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),ORB,10,10,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),AKAZE,5,7,2,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),KAZE,0,0,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),BRISK,4,4,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),FAST_BRIEF,2,3,0,0,0.0,0.0
cap_00.tiff,cap_13.tiff,Gamma(0.5),FAST_FREAK,4,4,2,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,SIFT,7,9,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,ORB,9,2,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,AKAZE,7,7,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,KAZE,11,12,4,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,BRISK,10,3,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,FAST_BRIEF,3,1,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Linear,FAST_FREAK,4,4,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Log Norm,SIFT,0,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Log Norm,ORB,5,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Log Norm,AKAZE,2,2,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Log Norm,KAZE,20,14,6,2,0.333,0.143
cap_16.tiff,cap_20.tiff,Log Norm,BRISK,2,3,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Log Norm,FAST_BRIEF,0,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Log Norm,FAST_FREAK,3,3,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Hist Eq,SIFT,20,22,7,5,0.714,0.25
cap_16.tiff,cap_20.tiff,Hist Eq,ORB,8,5,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Hist Eq,AKAZE,1,1,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Hist Eq,KAZE,16,14,7,5,0.714,0.357
cap_16.tiff,cap_20.tiff,Hist Eq,BRISK,4,4,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Hist Eq,FAST_BRIEF,4,5,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Hist Eq,FAST_FREAK,6,15,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,CLAHE,SIFT,9,13,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,CLAHE,ORB,7,3,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,CLAHE,AKAZE,7,9,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,CLAHE,KAZE,28,32,8,4,0.5,0.143
cap_16.tiff,cap_20.tiff,CLAHE,BRISK,8,1,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,CLAHE,FAST_BRIEF,2,1,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,CLAHE,FAST_FREAK,3,2,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,SIFT,9,12,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,ORB,0,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,AKAZE,0,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,KAZE,0,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,BRISK,10,5,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,FAST_BRIEF,3,3,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gauss+Sharpen,FAST_FREAK,5,5,2,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),SIFT,7,12,4,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),ORB,11,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),AKAZE,7,5,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),KAZE,14,16,3,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),BRISK,8,2,1,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),FAST_BRIEF,2,0,0,0,0.0,0.0
cap_16.tiff,cap_20.tiff,Gamma(0.5),FAST_FREAK,5,3,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,SIFT,5,4,2,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,ORB,9,6,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,AKAZE,6,6,2,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,KAZE,16,11,3,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,BRISK,3,1,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,FAST_BRIEF,5,1,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Linear,FAST_FREAK,6,4,4,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Log Norm,SIFT,6,4,4,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Log Norm,ORB,2,0,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Log Norm,AKAZE,1,1,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Log Norm,KAZE,16,13,8,7,0.875,0.538
cap_04.tiff,cap_27.tiff,Log Norm,BRISK,1,0,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Log Norm,FAST_BRIEF,1,0,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Log Norm,FAST_FREAK,1,2,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,SIFT,18,19,3,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,ORB,9,8,4,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,AKAZE,0,1,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,KAZE,6,13,4,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,BRISK,53,8,2,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,FAST_BRIEF,3,7,3,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Hist Eq,FAST_FREAK,0,0,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,CLAHE,SIFT,11,12,3,0,0.0,0.0
cap_04.tiff,cap_27.tiff,CLAHE,ORB,4,13,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,CLAHE,AKAZE,7,8,2,0,0.0,0.0
cap_04.tiff,cap_27.tiff,CLAHE,KAZE,20,24,6,5,0.833,0.25
cap_04.tiff,cap_27.tiff,CLAHE,BRISK,2,4,1,0,0.0,0.0
cap_04.tiff,cap_27.tiff,CLAHE,FAST_BRIEF,4,1,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,CLAHE,FAST_FREAK,4,3,3,0,0.0,0.0
